姓名,性别,是否班委,绩点,出勤概率
窦仁华,女,是,2.145
房仁昙,男,是,3.397
隗凯姝,女,否,3.317
梁段易高,男,是,3.375
鲍歌若,男,否,3.469
盛慧,女,否,2.364
柳信乐,男,否,2.934
尤慧,女,是,1.819
陈友淘,男,否,2.867
贺中苛,男,否,2.247
惠友嘉,女,是,1.886
程凯石,男,是,2.495
和歌元,男,否,2.404
巴丽,女,否,2.595
莫裕,男,是,2.894
童歌文,男,否,3.826
程器云,女,否,3.015
昝兰,女,是,3.17
宣友曼,女,是,3.913
毛和,女,否,3.636
华中茂,男,否,3.383
钮凯圆,男,否,1.896
盛礼笃,男,否,2.883
尹友含,女,是,2.24
鲍智悦,女,否,3.732
公羊信朴,男,是,2.795
熊曼,女,是,2.496
吉器棕,男,是,3.23
谷语,女,是,3.343
班红,女,否,3.136
施义秀,男,是,2.306
伍信,男,否,2.89
许玲,女,否,2.738
左器肖,男,是,2.862
康凯鸣,男,是,3.505
霍凯凯,男,是,2.414
蓬真镇,男,是,3.748
蓝信鼎,男,否,3.727
昌歌群,男,否,2.959
郎器米,女,否,2.583
乌仁悠,男,否,2.592
孔仁川,男,否,3.517
米中虹,女,是,3.875
褚信原,男,是,3.474
裴凯永,男,是,2.896
张智丽,女,否,2.912
邹易文,女,否,3.548
靳真誓,男,是,2.885
羊静,女,否,2.932
糜仁圣,男,是,3.186
罗信越,男,是,2.46
梅中佳,女,是,1.933
贝真鸣,男,是,2.337
迟公意,男,是,1.78
苏蕙,女,是,1.6
郗真灵,女,是,2.652
云真彤,男,否,2.671
谢仁欧,男,否,2.435
蓝浅,男,是,3.032
伏义昙,男,否,2.81
荣信含,女,否,3.31
伊中铭,男,是,1.696
茅娟,女,是,3.669
陶凯健,男,否,2.045
麴凯裕,男,是,3.712
凌器坤,男,是,1.975
昌智英,女,否,3.789
凌中昙,男,是,2.245
范仁朴,男,是,3.594
喻真佳,女,是,2.743
黄真民,男,否,2.218
丁虹,女,是,2.393
周易梦,女,否,2.349
蓝礼韵,女,是,1.889
袁友旭,女,是,2.306
许芳,女,是,3.819
麴礼卫,男,否,3.171
伊香,女,是,1.722
伏原,男,否,3.141
崔歌丰,男,否,2.254
虞凯蒙,男,否,1.527
何凯洁,女,是,2.858
端木莉,女,否,2.551
熊幽,男,是,3.833
汲中豫,男,是,2.975
松挚,男,是,3.218
伏友蒙,男,是,2.512
邵红,女,否,3.325
政濮义逸,男,否,2.621
水器净,男,否,1.983
