姓名,性别,是否班委,绩点,出勤概率
顾真胜,男,是,2.436
张秀,女,否,2.244
雷信妍,女,否,3.92
车原,男,是,2.758
路净,男,是,3.719
宓器贤,男,是,3.712
成灵,女,否,3.414
元器含,男,是,3.569
李馨,女,是,2.371
昌韵,女,是,2.334
邬易圣,男,是,2.741
麴捷,女,否,2.829
颜凯悦,女,否,3.807
裴美,女,是,2.832
赵梦,女,是,3.199
彭智浚,男,是,2.855
蔡勤,男,是,3.345
芮思,男,否,2.623
昝凯春,女,是,2.632
樊歌虹,女,是,3.918
羊信奇,男,是,3.514
陶信善,男,否,2.755
皮中峻,男,是,2.664
羿器琪,女,是,1.806
顾友泰,男,是,1.727
仰易意,男,否,2.89
计中烟,女,否,1.899
仲家,女,否,3.566
应真翰,男,否,3.218
骆易泰,男,否,3.935
柏智伦,男,是,3.96
余义和,女,是,3.952
卞真娟,女,是,1.684
裘易寒,女,否,2.274
昌娟,女,是,2.626
任友曼,女,是,2.306
宫南友莉,女,是,3.436
王器磊,男,否,2.725
花仁美,女,是,2.046
乐器越,男,否,2.713
郗智晋,男,否,3.277
东郭敬,男,是,2.462
贾真胜,男,否,2.796
吉信文,男,是,3.356
傅玲,女,否,3.887
萧歌颖,女,是,3.866
明易娟,女,否,2.146
梅歌基,男,否,3.494
蔡萱,女,是,1.913
臧智凌,女,否,3.889
胡衍,女,否,1.85
祝信玲,女,是,3.62
安露,女,否,2.811
奚真阳,男,是,2.262
伊中茉,女,是,3.843
邹煜,男,是,3.192
靳韵,男,否,2.863
梅真姝,女,是,1.71
邴礼家,女,是,3.854
宗中凌,女,是,2.83
支灵,女,是,1.977
狄礼渊,男,否,3.464
卞器信,男,否,2.145
卢器雪,女,是,2.137
曹凯嘉,女,是,2.79
房易圆,男,否,3.619
翁器尘,男,否,3.924
常静,女,是,2.994
董中玉,女,否,2.891
仲凯奥,男,否,3.439
邹凯鸣,男,是,1.734
安中冬,女,是,2.872
季姿,女,是,2.071
朱信悦,女,是,2.873
祝友廉,男,否,2.617
史挚,男,是,2.872
严秋,女,否,2.717
田慧,女,是,2.616
穆曼,女,否,2.52
黄凯虹,女,是,3.87
王歌境,男,是,1.651
屠公易怀,男,是,2.739
舒丽,女,是,2.324
雷歌睿,男,是,3.678
周友高,男,否,1.9
刁秀,女,是,2.979
戚易池,男,是,2.801
虞秀,女,是,2.61
谢歌松,男,是,2.912
杨凯越,男,否,1.66
