姓名,性别,是否班委,绩点,出勤概率
陆慧,女,是,3.252
万莉,女,是,3.874
柏红,女,是,2.001
江青,男,是,3.553
舒浩,女,是,3.289
郎中蒙,男,否,3.713
单歌韵,女,是,3.414
闵红,女,是,2.32
章礼昆,男,否,2.494
季慧,女,否,3.151
黄友英,女,否,2.62
台公信红,女,否,3.214
支真蒙,男,是,2.538
安露,女,否,2.798
何仁华,女,否,1.938
薛礼梦,女,否,2.7
郁礼宜,男,否,2.424
乌义棕,男,否,2.516
成凯容,女,否,2.997
卫歌嘉,女,否,2.391
石仁渊,男,否,3.217
计易娟,女,否,2.945
毕器涵,女,是,2.449
阮凯乐,男,否,3.221
熊器皓,男,否,3.785
宗蕙,女,是,2.206
袁器衍,女,是,1.956
张姿,女,否,3.496
罗器峻,男,否,3.488
周器民,男,否,3.375
严中世,男,否,2.865
贺友星,男,是,2.058
隗义秀,男,否,2.352
娄玉,女,是,2.951
莫器彤,男,是,3.393
汪歌秀,女,是,2.786
夏信姿,女,否,2.811
程贤,男,是,2.099
郭丽,女,是,3.231
潘友云,女,否,3.592
韦怀,女,否,1.693
汲义悦,女,否,2.995
皮信浚,男,是,3.452
家红,女,否,3.078
昌器烨,男,是,2.069
盛歌涛,男,否,3.516
于单歌嘉,女,是,3.123
段彤,男,否,3.024
萧义蒙,男,是,3.59
康信翱,男,否,3.093
郗虹,女,否,2.397
喻器逸,男,是,2.105
葛滢,女,是,2.965
冯信慧,女,是,2.854
席易含,男,否,3.062
莫礼云,女,否,3.007
阮蔓,女,是,3.147
干善,男,否,2.741
全易云,女,是,3.506
阮嘉,女,否,3.176
樊礼玉,女,是,3.676
林真阳,男,是,3.121
云瑾,男,是,3.272
喻易逸,女,否,2.134
贺友竹,女,否,3.567
袁景,男,是,2.006
胡义阳,男,是,3.345
康真胜,男,是,2.204
董真彩,女,是,2.553
巫义慧,女,否,2.814
胡义祥,男,是,2.911
戚器峰,男,否,2.954
岑乐,女,否,3.13
闵智韶,男,否,3.526
侯艳,女,否,3.186
于闾中云,女,否,2.133
裘云,女,是,3.23
伍曼,女,否,2.353
郁群,男,否,1.505
强友景,男,是,2.698
余凌,女,否,3.195
史真慧,女,否,3.401
季仁梦,女,否,3.139
周歆,女,否,2.859
人东颖,女,否,2.618
翁玉,女,是,1.976
经馨,女,否,1.976
徐莉,女,否,2.941
伏信凯,男,否,3.157
余真信,男,否,3.857
